Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
1,95.521356,13276,130,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
