Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
6,2024-12-02 10:39:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:39:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:39:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
0,2024-12-02 10:40:00,17.023608,12501,548,19352,754579.0,368,5497,MOBILIS,OFF-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:40:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:40:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:41:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
0,2024-12-02 10:41:00,39.721752,48264,125,21816,755028.0,12347,100,MOBILIS,OFF-NET,Smartphone,4G
6,2024-12-02 10:41:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
7,2024-12-02 10:41:00,2.0,43325,120,24396,813090.0,10958,50,OTA-SHORT,OTA-SHORT,Smartphone,4G
6,2024-12-02 10:42:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
